Timestamp,Vault,Chain,Address,Type,Month,APY,TVL
2022-06-30,yvCurve-STG-USDC 0.4.3 - ETH,ETH,0x341bb10D8f5947f3066502DC8125d9b8949FD3D6,Other,jun/22,,421.3499552032
2021-07-31,yvCurve-STG-USDC 0.4.3 - ETH,ETH,0x341bb10D8f5947f3066502DC8125d9b8949FD3D6,Other,jul/21,,
2022-08-31,yvCurve-STG-USDC 0.4.3 - ETH,ETH,0x341bb10D8f5947f3066502DC8125d9b8949FD3D6,Other,aug/22,,1748746.51418378
2021-08-31,yvCurve-STG-USDC 0.4.3 - ETH,ETH,0x341bb10D8f5947f3066502DC8125d9b8949FD3D6,Other,aug/21,,
2021-09-30,yvCurve-STG-USDC 0.4.3 - ETH,ETH,0x341bb10D8f5947f3066502DC8125d9b8949FD3D6,Other,sep/21,,
2021-04-30,yvCurve-STG-USDC 0.4.3 - ETH,ETH,0x341bb10D8f5947f3066502DC8125d9b8949FD3D6,Other,apr/21,,
2022-09-30,yvCurve-STG-USDC 0.4.3 - ETH,ETH,0x341bb10D8f5947f3066502DC8125d9b8949FD3D6,Other,sep/22,,1475550.94761442
2022-02-28,yvCurve-STG-USDC 0.4.3 - ETH,ETH,0x341bb10D8f5947f3066502DC8125d9b8949FD3D6,Other,feb/22,,
2022-01-31,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,jan/22,,202342.823842
2022-07-31,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,jul/22,0.249778506121471,596580.939392
2021-01-31,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,jan/21,,
2022-03-31,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,mar/22,,2446210.47801542
2021-06-30,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,jun/21,,
2021-10-31,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,oct/21,,
2022-04-30,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,apr/22,0.20142840173352305,1742135.929868166
2021-02-28,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,feb/21,,
2021-12-31,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,dec/21,,
2022-05-31,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,may/22,0.23828703873906987,713472.524657
2021-05-31,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,may/21,,
2021-11-30,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,nov/21,,
2021-03-31,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,mar/21,,
2022-06-30,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,jun/22,0.1940916874581997,247273.34626959
2021-07-31,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,jul/21,,
2022-08-31,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,aug/22,0.24754315672398053,506314.653438
2021-08-31,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,aug/21,,
2021-09-30,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,sep/21,,
2021-04-30,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,apr/21,,
2022-09-30,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,sep/22,0.2174767687856065,793181.879079
2022-02-28,yvCurve-CVXETH 0.4.3 - ETH,ETH,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,Altcoin,feb/22,,18122.78969975
2022-01-31,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,jan/22,,123049.83737554
2022-07-31,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,jul/22,,2594.9063783658
2021-01-31,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,jan/21,,
2022-03-31,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,mar/22,0.03252638518202189,88892.743138
2021-06-30,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,jun/21,,
2021-10-31,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,oct/21,,
2022-04-30,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,apr/22,0.03252638518202189,88870.78319065
2021-02-28,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,feb/21,,
2021-12-31,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,dec/21,,123125.091036
2022-05-31,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,may/22,0.004527309500910626,222420.272525
2021-05-31,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,may/21,,
2021-11-30,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,nov/21,,0.0
2021-03-31,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,mar/21,,
