Vault,Chain,Type,Month,APY (%)
yvCurve-USDP 0.3.5 - ETH,ETH,Stable,may/22,0.04344574379769384
yvCurve-Compound 0.3.5 - ETH,ETH,Altcoin,may/22,0.0
yvYFI 0.3.2 - ETH,ETH,Altcoin,may/22,0.5946330509314373
yvCurve-3Crypto 0.4.3 - ETH,ETH,Other,may/22,0.06359963970124372
yvCurve-ibEUR-USDC 0.4.3 - ETH,ETH,Other,may/22,0
yvSNX 0.3.5 - ETH,ETH,Altcoin,may/22,0.03485106367641566
yvCurve-OUSD 0.4.3 - ETH,ETH,Stable,may/22,0.021955531982810417
yvCurve-ibKRW-USDC 0.4.3 - ETH,ETH,Other,may/22,0
yvUNI 0.3.5 - ETH,ETH,Altcoin,may/22,0.0
yvTUSD 0.4.3 - ETH,ETH,Stable,may/22,0.0
yvWETH 0.4.2 - ETH,ETH,ETH,may/22,0.0058025224799558295
yvUSDC 0.4.3 - ETH,ETH,Stable,may/22,0.010427840093691243
yvsUSD 0.3.3 - ETH,ETH,Stable,may/22,0.0
yvWETH 0.3.2 - ETH,ETH,ETH,may/22,0.008863352747125797
yvKP3RETH-f 0.4.3 - ETH,ETH,Other,may/22,0
yvCurve-sAave 0.3.5 - ETH,ETH,Altcoin,may/22,0.0
yvCurve-USDP 0.4.3 - ETH,ETH,Stable,may/22,0.0
yvWBTC 0.3.1 - ETH,ETH,BTC,may/22,0.0
yvCurve-DOLA 0.4.3 - ETH,ETH,Stable,may/22,0.03911260078817014
yvCurve-MIMUST 0.4.3 - ETH,ETH,Stable,may/22,0.0
yvAAVE 0.4.3 - ETH,ETH,Altcoin,may/22,0.048480291216939086
yvDAI 0.4.3 - ETH,ETH,Stable,may/22,0.01378933984908981
yvCurve-stETH 0.3.0 - ETH,ETH,ETH,may/22,0.010279371585949937
yvYFI 0.4.3 - ETH,ETH,Altcoin,may/22,0.0
yvHEGIC 0.3.0 - ETH,ETH,Altcoin,may/22,0.0
yvUSDC 0.2.2 - ETH,ETH,Stable,may/22,0.0
yvCurve-oBTC 0.3.5 - ETH,ETH,BTC,may/22,0.0
yvCurve-LINK 0.3.5 - ETH,ETH,Altcoin,may/22,0.0
yvCurve-TUSD 0.3.5 - ETH,ETH,Stable,may/22,0.0
yvAVAX 0.4.3 - FTM,FTM,Altcoin,may/22,0.0
yvCRV 0.4.3 - FTM,FTM,Altcoin,may/22,0.00900526184862449
yvMIM 0.4.3 - FTM,FTM,Stable,may/22,0.030349442455276376
yvWFTM 0.4.3 - FTM,FTM,Altcoin,may/22,0.0784484857826162
yvBOO 0.4.3 - FTM,FTM,Altcoin,may/22,0.8872042178072457
yvUSDT 0.4.3 - FTM,FTM,Stable,may/22,0.01735376140937528
yvDOLA 0.4.3 - FTM,FTM,Stable,may/22,0.02816272018255561
yvfBEETS 0.4.3 - FTM,FTM,Altcoin,may/22,0.878179794019027
yvYFI 0.4.3 - FTM,FTM,Altcoin,may/22,0.003130681778802158
yvFRAX 0.4.3 - FTM,FTM,Stable,may/22,0.07887448472990255
yvDAI 0.4.3 - FTM,FTM,Stable,may/22,0.027479802129206865
yvCurve-MIM 0.4.3 - FTM,FTM,Stable,may/22,0.06605026226218125
yvCurve-Tricrypto 0.4.3 - FTM,FTM,Other,may/22,0.004386638575684998
yvWETH 0.4.3 - FTM,FTM,ETH,may/22,0.0023171007948463718
yvSPELL 0.4.3 - FTM,FTM,Altcoin,may/22,0.04667328024898332
yvUSDC 0.4.3 - FTM,FTM,Stable,may/22,0.0040414603373521985
yvCurve-Geist 0.4.3 - FTM,FTM,Altcoin,may/22,0.0031530584582928345
yvWBTC 0.4.3 - FTM,FTM,BTC,may/22,0.0005680627874251609
yvLINK 0.4.3 - FTM,FTM,Altcoin,may/22,0.00974345455022152
yvCurve-UST 0.4.3 - ETH,ETH,Stable,jun/22,0.0
yvCurve-HUSD 0.3.5 - ETH,ETH,Stable,jun/22,0.0
yvCurve-EURT 0.4.3 - ETH,ETH,Stable,jun/22,0.0
yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,Other,jun/22,0.0
yvCurve-ankrETH 0.3.5 - ETH,ETH,ETH,jun/22,0.0
yvCurve-CVXETH 0.4.3 - ETH,ETH,Altcoin,jun/22,0.20141803381475798
yvCurve-d3pool 0.4.3 - ETH,ETH,Other,jun/22,0.03518755227880632
yvDAI 0.3.0 - ETH,ETH,Stable,jun/22,0.004289499307566613
yvCurve-UST 0.3.5 - ETH,ETH,Stable,jun/22,0.0
yvCurve-ibAUD 0.4.3 - ETH,ETH,Iron Bank,jun/22,0.0
yvCurve-tBTC 0.3.5 - ETH,ETH,BTC,jun/22,0.0
yvCurve-EURS 0.3.5 - ETH,ETH,Stable,jun/22,0.0
st-yCRV 0.4.3 - ETH,ETH,Other,jun/22,0
yvCurve-IronBank 0.3.2 - ETH,ETH,Altcoin,jun/22,0.035607320663484154
yvCurve-USDT 0.3.5 - ETH,ETH,Stable,jun/22,0.0
yvCurve-RAI 0.4.3 - ETH,ETH,Other,jun/22,0.005240630080305397
yvCurve-MIM 0.4.3 - ETH,ETH,Stable,jun/22,0.013683074743602086
yvCurve-GUSD 0.3.5 - ETH,ETH,Stable,jun/22,0.018419615745048468
yvCurve-ibCHF-USDC 0.4.3 - ETH,ETH,Other,jun/22,0.0
yvCurve-DUSD 0.3.5 - ETH,ETH,Stable,jun/22,0.034027812242485966
yvCurve-STG-USDC 0.4.3 - ETH,ETH,Other,jun/22,0
yvLUSD 0.4.3 - ETH,ETH,Stable,jun/22,0.021445803101819205
yvCurve-Aave 0.3.5 - ETH,ETH,Altcoin,jun/22,0.0
yvUSDT 0.4.3 - ETH,ETH,Other,jun/22,0
yvCurve-USDN 0.3.5 - ETH,ETH,Stable,jun/22,0.24337572691658216
yvCurve-USDK 0.3.5 - ETH,ETH,Stable,jun/22,0.0
yvCurve-triCrypto 0.4.2 - ETH,ETH,Other,jun/22,0.0
yvCurve-pBTC 0.3.5 - ETH,ETH,BTC,jun/22,0.8661950034041925
yvBalancer-BoostedAaveUSD 0.4.3 - ETH,ETH,Other,jun/22,0
yvCurve-cvxCRV 0.4.3 - ETH,ETH,Altcoin,jun/22,0.0
yvCurve-ibCHF 0.4.3 - ETH,ETH,Iron Bank,jun/22,0.0
yvCOMP 0.4.3 - ETH,ETH,Altcoin,jun/22,0.03808829279145143
yUSD 0.3.5 - ETH,ETH,Stable,jun/22,0.0
yvCurve-ibKRW 0.4.3 - ETH,ETH,Iron Bank,jun/22,0.0
yvCurve-ibJPY 0.4.3 - ETH,ETH,Iron Bank,jun/22,0.0
yvCurve-ibGBP 0.4.3 - ETH,ETH,Iron Bank,jun/22,0.0
yvCurve-3EUR 0.4.3 - ETH,ETH,Stable,jun/22,0.03827912500789221
yvCurve-sUSD 0.3.5 - ETH,ETH,Stable,jun/22,0.007538738778446907
yvCurve-rETHwstETH 0.4.3 - ETH,ETH,ETH,jun/22,0.0
yvCurve-ibBTC 0.4.3 - ETH,ETH,BTC,jun/22,0.0
yvUSDC 0.3.0 - ETH,ETH,Stable,jun/22,0.010632947601957543
yvCurve-LUSD 0.3.5 - ETH,ETH,Stable,jun/22,0.0
yvCurve-stETH-WETH 0.4.3 - ETH,ETH,ETH,jun/22,0.0
lp-yCRV 0.4.3 - ETH,ETH,Other,jun/22,0
yvCurve-HBTC 0.3.3 - ETH,ETH,BTC,jun/22,0.011085721749422017
yvLINK 0.4.2 - ETH,ETH,Altcoin,jun/22,0.007204159069918781
yvCurve-ibEUR 0.4.3 - ETH,ETH,Iron Bank,jun/22,0.0
yvCurve-CRVETH 0.4.3 - ETH,ETH,Altcoin,jun/22,0.11711303680284679
yvCurve-ibGBP-USDC 0.4.3 - ETH,ETH,Other,jun/22,0.0
yvCurve-BUSD 0.3.5 - ETH,ETH,Stable,jun/22,0.005935749388143785
yvCurve-USDM 0.4.3 - ETH,ETH,Stable,jun/22,0.0
yvSUSHI 0.4.3 - ETH,ETH,Altcoin,jun/22,0.007845032181192702
yvCurve-renBTC 0.3.5 - ETH,ETH,BTC,jun/22,0.0
yvCurve-alETH 0.4.3 - ETH,ETH,ETH,jun/22,0.3715524644057582
yvCurve-YFIETH 0.4.3 - ETH,ETH,Altcoin,jun/22,0.24922534391873086
yvUSDT 0.3.5 - ETH,ETH,Stable,jun/22,0.00010789797582244631
yvCurve-EURSUSDC 0.4.3 - ETH,ETH,Stable,jun/22,0.0
yvCurve-Pax 0.3.5 - ETH,ETH,Stable,jun/22,0.0
yvCurve-sBTC 0.3.5 - ETH,ETH,BTC,jun/22,0.0
yvCurve-3pool 0.3.5 - ETH,ETH,Other,jun/22,0.0
yvRAI 0.4.2 - ETH,ETH,Altcoin,jun/22,0.0
yvCurve-EURN 0.4.3 - ETH,ETH,Stable,jun/22,0.0
yvCurve-mUSD 0.3.5 - ETH,ETH,Stable,jun/22,0.006987218168277076
yvCurve-yBUSD 0.3.5 - ETH,ETH,Stable,jun/22,0.0
yvCurve-BBTC 0.3.5 - ETH,ETH,BTC,jun/22,0.0
yvCurve-sETH 0.3.2 - ETH,ETH,ETH,jun/22,0.006946201214402814
yvCurve-ibJPY-USDC 0.4.3 - ETH,ETH,Other,jun/22,0.0
yvBOOST 0.3.5 - ETH,ETH,Altcoin,jun/22,0.9556238847819503
yvWBTC 0.3.5 - ETH,ETH,BTC,jun/22,4.4902186836282e-05
yvCurve-alUSD 0.3.5 - ETH,ETH,Stable,jun/22,0.04907564980415846
yvCurve-FRAX 0.3.5 - ETH,ETH,Stable,jun/22,0.0
yv1INCH 0.3.2 - ETH,ETH,Altcoin,jun/22,0.0
yvCurve-EURTUSD 0.4.3 - ETH,ETH,Stable,jun/22,0.0
yvDAI 0.2.2 - ETH,ETH,Stable,jun/22,0.0
yvCurve-rETH 0.3.5 - ETH,ETH,ETH,jun/22,0.0
yvCurve-RSV 0.3.5 - ETH,ETH,Other,jun/22,0.0
yvCurve-USDP 0.3.5 - ETH,ETH,Stable,jun/22,0.011859353908938886
yvCurve-Compound 0.3.5 - ETH,ETH,Altcoin,jun/22,0.0020409331971225075
yvYFI 0.3.2 - ETH,ETH,Altcoin,jun/22,0.0
yvCurve-3Crypto 0.4.3 - ETH,ETH,Other,jun/22,0.016577762400956875
yvCurve-ibEUR-USDC 0.4.3 - ETH,ETH,Other,jun/22,0.0
yvSNX 0.3.5 - ETH,ETH,Altcoin,jun/22,0.04410732938305739
yvCurve-OUSD 0.4.3 - ETH,ETH,Stable,jun/22,0.004413435660738818
yvCurve-ibKRW-USDC 0.4.3 - ETH,ETH,Other,jun/22,0.0
yvUNI 0.3.5 - ETH,ETH,Altcoin,jun/22,0.0243746990431859
yvTUSD 0.4.3 - ETH,ETH,Stable,jun/22,0.0
yvWETH 0.4.2 - ETH,ETH,ETH,jun/22,0.0011207072903325344
yvUSDC 0.4.3 - ETH,ETH,Stable,jun/22,0.017198653374621786
yvsUSD 0.3.3 - ETH,ETH,Stable,jun/22,0.0
yvWETH 0.3.2 - ETH,ETH,ETH,jun/22,0.0022552243782969494
yvKP3RETH-f 0.4.3 - ETH,ETH,Other,jun/22,0.0
yvCurve-sAave 0.3.5 - ETH,ETH,Altcoin,jun/22,0.0
yvCurve-USDP 0.4.3 - ETH,ETH,Stable,jun/22,0.0
yvWBTC 0.3.1 - ETH,ETH,BTC,jun/22,0.0
yvCurve-DOLA 0.4.3 - ETH,ETH,Stable,jun/22,0.07978537025444621
yvCurve-MIMUST 0.4.3 - ETH,ETH,Stable,jun/22,0.0
yvAAVE 0.4.3 - ETH,ETH,Altcoin,jun/22,0.002800093378963142
yvDAI 0.4.3 - ETH,ETH,Stable,jun/22,0.01892264792503262
yvCurve-stETH 0.3.0 - ETH,ETH,ETH,jun/22,0.015469580376802794
yvYFI 0.4.3 - ETH,ETH,Altcoin,jun/22,0.007507165207694122
yvHEGIC 0.3.0 - ETH,ETH,Altcoin,jun/22,0.0
yvUSDC 0.2.2 - ETH,ETH,Stable,jun/22,0.0
yvCurve-oBTC 0.3.5 - ETH,ETH,BTC,jun/22,0.0
yvCurve-LINK 0.3.5 - ETH,ETH,Altcoin,jun/22,0.0
yvCurve-TUSD 0.3.5 - ETH,ETH,Stable,jun/22,0.0
yvAVAX 0.4.3 - FTM,FTM,Altcoin,jun/22,0.0
yvCRV 0.4.3 - FTM,FTM,Altcoin,jun/22,0.0
yvMIM 0.4.3 - FTM,FTM,Stable,jun/22,0.02098690226405786
yvWFTM 0.4.3 - FTM,FTM,Altcoin,jun/22,0.013280732154730579
yvBOO 0.4.3 - FTM,FTM,Altcoin,jun/22,0.490335760082538
yvUSDT 0.4.3 - FTM,FTM,Stable,jun/22,0.0460933615990744
yvDOLA 0.4.3 - FTM,FTM,Stable,jun/22,0.0
yvfBEETS 0.4.3 - FTM,FTM,Altcoin,jun/22,0.4516451184212704
yvYFI 0.4.3 - FTM,FTM,Altcoin,jun/22,0.00017803304155594724
yvFRAX 0.4.3 - FTM,FTM,Stable,jun/22,0.0
yvDAI 0.4.3 - FTM,FTM,Stable,jun/22,0.007030396794706295
yvCurve-MIM 0.4.3 - FTM,FTM,Stable,jun/22,0.056881695111537844
yvCurve-Tricrypto 0.4.3 - FTM,FTM,Other,jun/22,0.1695640678685948
yvWETH 0.4.3 - FTM,FTM,ETH,jun/22,0.016807717306803083
yvSPELL 0.4.3 - FTM,FTM,Altcoin,jun/22,0.0
yvUSDC 0.4.3 - FTM,FTM,Stable,jun/22,0.006318179119051193
yvCurve-Geist 0.4.3 - FTM,FTM,Altcoin,jun/22,0.002909647424607975
yvWBTC 0.4.3 - FTM,FTM,BTC,jun/22,0.004640997411357484
yvLINK 0.4.3 - FTM,FTM,Altcoin,jun/22,2.0097845463418196e-06
yvCurve-UST 0.4.3 - ETH,ETH,Stable,jul/22,0.0
yvCurve-HUSD 0.3.5 - ETH,ETH,Stable,jul/22,0.0
yvCurve-EURT 0.4.3 - ETH,ETH,Stable,jul/22,0.0
yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,Other,jul/22,0.0
yvCurve-ankrETH 0.3.5 - ETH,ETH,ETH,jul/22,0.0
yvCurve-CVXETH 0.4.3 - ETH,ETH,Altcoin,jul/22,0.2591017272790248
yvCurve-d3pool 0.4.3 - ETH,ETH,Other,jul/22,0.0
yvDAI 0.3.0 - ETH,ETH,Stable,jul/22,0.014605702906378859
yvCurve-UST 0.3.5 - ETH,ETH,Stable,jul/22,0.0
yvCurve-ibAUD 0.4.3 - ETH,ETH,Iron Bank,jul/22,0.0
yvCurve-tBTC 0.3.5 - ETH,ETH,BTC,jul/22,0.0
yvCurve-EURS 0.3.5 - ETH,ETH,Stable,jul/22,0.0
st-yCRV 0.4.3 - ETH,ETH,Other,jul/22,0
yvCurve-IronBank 0.3.2 - ETH,ETH,Altcoin,jul/22,0.02735961957312294
yvCurve-USDT 0.3.5 - ETH,ETH,Stable,jul/22,0.0
yvCurve-RAI 0.4.3 - ETH,ETH,Other,jul/22,0.0
yvCurve-MIM 0.4.3 - ETH,ETH,Stable,jul/22,0.18679329883461215
yvCurve-GUSD 0.3.5 - ETH,ETH,Stable,jul/22,0.0
yvCurve-ibCHF-USDC 0.4.3 - ETH,ETH,Other,jul/22,0.0
yvCurve-DUSD 0.3.5 - ETH,ETH,Stable,jul/22,0.0
yvCurve-STG-USDC 0.4.3 - ETH,ETH,Other,jul/22,0.0
yvLUSD 0.4.3 - ETH,ETH,Stable,jul/22,0.0026725779119753934
yvCurve-Aave 0.3.5 - ETH,ETH,Altcoin,jul/22,0.0
yvUSDT 0.4.3 - ETH,ETH,Other,jul/22,0.0
yvCurve-USDN 0.3.5 - ETH,ETH,Stable,jul/22,0.23615031907631145
yvCurve-USDK 0.3.5 - ETH,ETH,Stable,jul/22,0.0
yvCurve-triCrypto 0.4.2 - ETH,ETH,Other,jul/22,0.0
yvCurve-pBTC 0.3.5 - ETH,ETH,BTC,jul/22,0.0
yvBalancer-BoostedAaveUSD 0.4.3 - ETH,ETH,Other,jul/22,0
yvCurve-cvxCRV 0.4.3 - ETH,ETH,Altcoin,jul/22,1.0459902483570644
yvCurve-ibCHF 0.4.3 - ETH,ETH,Iron Bank,jul/22,0.0
yvCOMP 0.4.3 - ETH,ETH,Altcoin,jul/22,0.0
yUSD 0.3.5 - ETH,ETH,Stable,jul/22,0.0
yvCurve-ibKRW 0.4.3 - ETH,ETH,Iron Bank,jul/22,0.0
yvCurve-ibJPY 0.4.3 - ETH,ETH,Iron Bank,jul/22,0.0
yvCurve-ibGBP 0.4.3 - ETH,ETH,Iron Bank,jul/22,0.0
yvCurve-3EUR 0.4.3 - ETH,ETH,Stable,jul/22,0.0
yvCurve-sUSD 0.3.5 - ETH,ETH,Stable,jul/22,0.0
yvCurve-rETHwstETH 0.4.3 - ETH,ETH,ETH,jul/22,0.004192863401229374
yvCurve-ibBTC 0.4.3 - ETH,ETH,BTC,jul/22,0.0
yvUSDC 0.3.0 - ETH,ETH,Stable,jul/22,0.006243004984974876
yvCurve-LUSD 0.3.5 - ETH,ETH,Stable,jul/22,0.004760916770392809
yvCurve-stETH-WETH 0.4.3 - ETH,ETH,ETH,jul/22,0.0
lp-yCRV 0.4.3 - ETH,ETH,Other,jul/22,0
yvCurve-HBTC 0.3.3 - ETH,ETH,BTC,jul/22,0.0276181604275354
yvLINK 0.4.2 - ETH,ETH,Altcoin,jul/22,0.0
yvCurve-ibEUR 0.4.3 - ETH,ETH,Iron Bank,jul/22,0.0
yvCurve-CRVETH 0.4.3 - ETH,ETH,Altcoin,jul/22,0.0
yvCurve-ibGBP-USDC 0.4.3 - ETH,ETH,Other,jul/22,0.0
yvCurve-BUSD 0.3.5 - ETH,ETH,Stable,jul/22,0.0
yvCurve-USDM 0.4.3 - ETH,ETH,Stable,jul/22,0.0
yvSUSHI 0.4.3 - ETH,ETH,Altcoin,jul/22,0.0
yvCurve-renBTC 0.3.5 - ETH,ETH,BTC,jul/22,0.0
yvCurve-alETH 0.4.3 - ETH,ETH,ETH,jul/22,0.0021381482928488627
yvCurve-YFIETH 0.4.3 - ETH,ETH,Altcoin,jul/22,0.0
yvUSDT 0.3.5 - ETH,ETH,Stable,jul/22,0.0005216013356816873
yvCurve-EURSUSDC 0.4.3 - ETH,ETH,Stable,jul/22,0.02354649222860794
yvCurve-Pax 0.3.5 - ETH,ETH,Stable,jul/22,0.0
yvCurve-sBTC 0.3.5 - ETH,ETH,BTC,jul/22,0.0
yvCurve-3pool 0.3.5 - ETH,ETH,Other,jul/22,0.0
yvRAI 0.4.2 - ETH,ETH,Altcoin,jul/22,0.0
yvCurve-EURN 0.4.3 - ETH,ETH,Stable,jul/22,0.0
yvCurve-mUSD 0.3.5 - ETH,ETH,Stable,jul/22,0.0
yvCurve-yBUSD 0.3.5 - ETH,ETH,Stable,jul/22,0.0
yvCurve-BBTC 0.3.5 - ETH,ETH,BTC,jul/22,0.0
yvCurve-sETH 0.3.2 - ETH,ETH,ETH,jul/22,0.020219833312505653
yvCurve-ibJPY-USDC 0.4.3 - ETH,ETH,Other,jul/22,0.0
yvBOOST 0.3.5 - ETH,ETH,Altcoin,jul/22,0.7522285982236552
yvWBTC 0.3.5 - ETH,ETH,BTC,jul/22,0.00015371486936510692
yvCurve-alUSD 0.3.5 - ETH,ETH,Stable,jul/22,0.06144302067158014
yvCurve-FRAX 0.3.5 - ETH,ETH,Stable,jul/22,0.14683099735723815
yv1INCH 0.3.2 - ETH,ETH,Altcoin,jul/22,0.0
yvCurve-EURTUSD 0.4.3 - ETH,ETH,Stable,jul/22,0.0
yvDAI 0.2.2 - ETH,ETH,Stable,jul/22,0.0
yvCurve-rETH 0.3.5 - ETH,ETH,ETH,jul/22,0.0
yvCurve-RSV 0.3.5 - ETH,ETH,Other,jul/22,0.0
yvCurve-USDP 0.3.5 - ETH,ETH,Stable,jul/22,0.0
yvCurve-Compound 0.3.5 - ETH,ETH,Altcoin,jul/22,0.0
yvYFI 0.3.2 - ETH,ETH,Altcoin,jul/22,0.0
yvCurve-3Crypto 0.4.3 - ETH,ETH,Other,jul/22,0.07957203261273271
yvCurve-ibEUR-USDC 0.4.3 - ETH,ETH,Other,jul/22,0.0
yvSNX 0.3.5 - ETH,ETH,Altcoin,jul/22,0.039538987404259096
yvCurve-OUSD 0.4.3 - ETH,ETH,Stable,jul/22,0.0
yvCurve-ibKRW-USDC 0.4.3 - ETH,ETH,Other,jul/22,0.0
yvUNI 0.3.5 - ETH,ETH,Altcoin,jul/22,0.0
yvTUSD 0.4.3 - ETH,ETH,Stable,jul/22,0.0
yvWETH 0.4.2 - ETH,ETH,ETH,jul/22,0.002896092058419786
yvUSDC 0.4.3 - ETH,ETH,Stable,jul/22,0.004150041839834362
yvsUSD 0.3.3 - ETH,ETH,Stable,jul/22,0.0
yvWETH 0.3.2 - ETH,ETH,ETH,jul/22,0.0017132481710564473
yvKP3RETH-f 0.4.3 - ETH,ETH,Other,jul/22,0.0
yvCurve-sAave 0.3.5 - ETH,ETH,Altcoin,jul/22,0.0
yvCurve-USDP 0.4.3 - ETH,ETH,Stable,jul/22,0.0
yvWBTC 0.3.1 - ETH,ETH,BTC,jul/22,0.0
yvCurve-DOLA 0.4.3 - ETH,ETH,Stable,jul/22,0.3283950361703867
yvCurve-MIMUST 0.4.3 - ETH,ETH,Stable,jul/22,0.0
yvAAVE 0.4.3 - ETH,ETH,Altcoin,jul/22,0.0
yvDAI 0.4.3 - ETH,ETH,Stable,jul/22,0.008063276180738654
yvCurve-stETH 0.3.0 - ETH,ETH,ETH,jul/22,0.025404118242422502
yvYFI 0.4.3 - ETH,ETH,Altcoin,jul/22,0.0
yvHEGIC 0.3.0 - ETH,ETH,Altcoin,jul/22,0.0
yvUSDC 0.2.2 - ETH,ETH,Stable,jul/22,0.0
yvCurve-oBTC 0.3.5 - ETH,ETH,BTC,jul/22,0.0
yvCurve-LINK 0.3.5 - ETH,ETH,Altcoin,jul/22,0.0
yvCurve-TUSD 0.3.5 - ETH,ETH,Stable,jul/22,0.0
yvAVAX 0.4.3 - FTM,FTM,Altcoin,jul/22,0.0
yvCRV 0.4.3 - FTM,FTM,Altcoin,jul/22,0.0
yvMIM 0.4.3 - FTM,FTM,Stable,jul/22,0.01756710866167044
yvWFTM 0.4.3 - FTM,FTM,Altcoin,jul/22,0.004103884644029554
yvBOO 0.4.3 - FTM,FTM,Altcoin,jul/22,0.21939100956588642
yvUSDT 0.4.3 - FTM,FTM,Stable,jul/22,0.0011426887333361169
yvDOLA 0.4.3 - FTM,FTM,Stable,jul/22,0.0
yvfBEETS 0.4.3 - FTM,FTM,Altcoin,jul/22,0.4115096795778679
yvYFI 0.4.3 - FTM,FTM,Altcoin,jul/22,0.0
yvFRAX 0.4.3 - FTM,FTM,Stable,jul/22,0.0
yvDAI 0.4.3 - FTM,FTM,Stable,jul/22,0.0009694710397363249
yvCurve-MIM 0.4.3 - FTM,FTM,Stable,jul/22,0.07592074155113893
yvCurve-Tricrypto 0.4.3 - FTM,FTM,Other,jul/22,0.11540817279388116
yvWETH 0.4.3 - FTM,FTM,ETH,jul/22,0.013297422952754046
yvSPELL 0.4.3 - FTM,FTM,Altcoin,jul/22,0.0
yvUSDC 0.4.3 - FTM,FTM,Stable,jul/22,0.002140086117302653
yvCurve-Geist 0.4.3 - FTM,FTM,Altcoin,jul/22,0.0033389936629428796
yvWBTC 0.4.3 - FTM,FTM,BTC,jul/22,0.006157656996097272
yvLINK 0.4.3 - FTM,FTM,Altcoin,jul/22,0.0006203474614996374
yvCurve-UST 0.4.3 - ETH,ETH,Stable,aug/22,0.0
yvCurve-HUSD 0.3.5 - ETH,ETH,Stable,aug/22,0.0
yvCurve-EURT 0.4.3 - ETH,ETH,Stable,aug/22,0.0
yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,Other,aug/22,0.0
yvCurve-ankrETH 0.3.5 - ETH,ETH,ETH,aug/22,0.0
yvCurve-CVXETH 0.4.3 - ETH,ETH,Altcoin,aug/22,0.25677470431585947
yvCurve-d3pool 0.4.3 - ETH,ETH,Other,aug/22,0.0
yvDAI 0.3.0 - ETH,ETH,Stable,aug/22,0.008425488403394965
yvCurve-UST 0.3.5 - ETH,ETH,Stable,aug/22,0.0
yvCurve-ibAUD 0.4.3 - ETH,ETH,Iron Bank,aug/22,0.0
yvCurve-tBTC 0.3.5 - ETH,ETH,BTC,aug/22,0.0
yvCurve-EURS 0.3.5 - ETH,ETH,Stable,aug/22,0.0
st-yCRV 0.4.3 - ETH,ETH,Other,aug/22,0
yvCurve-IronBank 0.3.2 - ETH,ETH,Altcoin,aug/22,0.012398171459993668
yvCurve-USDT 0.3.5 - ETH,ETH,Stable,aug/22,0.0
yvCurve-RAI 0.4.3 - ETH,ETH,Other,aug/22,0.05485758832963561
yvCurve-MIM 0.4.3 - ETH,ETH,Stable,aug/22,0.0
yvCurve-GUSD 0.3.5 - ETH,ETH,Stable,aug/22,0.0
yvCurve-ibCHF-USDC 0.4.3 - ETH,ETH,Other,aug/22,0.0
yvCurve-DUSD 0.3.5 - ETH,ETH,Stable,aug/22,0.0
yvCurve-STG-USDC 0.4.3 - ETH,ETH,Other,aug/22,0.0
yvLUSD 0.4.3 - ETH,ETH,Stable,aug/22,0.034412659038113524
yvCurve-Aave 0.3.5 - ETH,ETH,Altcoin,aug/22,0.0
yvUSDT 0.4.3 - ETH,ETH,Other,aug/22,0.006104410095557622
yvCurve-USDN 0.3.5 - ETH,ETH,Stable,aug/22,0.09034691309605503
yvCurve-USDK 0.3.5 - ETH,ETH,Stable,aug/22,0.0
yvCurve-triCrypto 0.4.2 - ETH,ETH,Other,aug/22,0.0
yvCurve-pBTC 0.3.5 - ETH,ETH,BTC,aug/22,0.0
yvBalancer-BoostedAaveUSD 0.4.3 - ETH,ETH,Other,aug/22,0
yvCurve-cvxCRV 0.4.3 - ETH,ETH,Altcoin,aug/22,0.0
yvCurve-ibCHF 0.4.3 - ETH,ETH,Iron Bank,aug/22,0.0
yvCOMP 0.4.3 - ETH,ETH,Altcoin,aug/22,0.033440529180144285
yUSD 0.3.5 - ETH,ETH,Stable,aug/22,0.0
yvCurve-ibKRW 0.4.3 - ETH,ETH,Iron Bank,aug/22,0.0
yvCurve-ibJPY 0.4.3 - ETH,ETH,Iron Bank,aug/22,0.0
yvCurve-ibGBP 0.4.3 - ETH,ETH,Iron Bank,aug/22,0.0
yvCurve-3EUR 0.4.3 - ETH,ETH,Stable,aug/22,0.0
yvCurve-sUSD 0.3.5 - ETH,ETH,Stable,aug/22,0.046448712973060635
yvCurve-rETHwstETH 0.4.3 - ETH,ETH,ETH,aug/22,0.0
yvCurve-ibBTC 0.4.3 - ETH,ETH,BTC,aug/22,0.0
yvUSDC 0.3.0 - ETH,ETH,Stable,aug/22,3.3273276591749834e-05
yvCurve-LUSD 0.3.5 - ETH,ETH,Stable,aug/22,0.01254771552911449
yvCurve-stETH-WETH 0.4.3 - ETH,ETH,ETH,aug/22,0.0
lp-yCRV 0.4.3 - ETH,ETH,Other,aug/22,0
yvCurve-HBTC 0.3.3 - ETH,ETH,BTC,aug/22,0.053301817575120536
yvLINK 0.4.2 - ETH,ETH,Altcoin,aug/22,0.02994286913321087
yvCurve-ibEUR 0.4.3 - ETH,ETH,Iron Bank,aug/22,0.05697716482692572
yvCurve-CRVETH 0.4.3 - ETH,ETH,Altcoin,aug/22,0.22495885749284605
yvCurve-ibGBP-USDC 0.4.3 - ETH,ETH,Other,aug/22,0.0
yvCurve-BUSD 0.3.5 - ETH,ETH,Stable,aug/22,0.0
yvCurve-USDM 0.4.3 - ETH,ETH,Stable,aug/22,0.0
yvSUSHI 0.4.3 - ETH,ETH,Altcoin,aug/22,0.09063625506564765
